2025-07-17 00:28:59 [INFO] LED_WebApp:load_config:113 - 載入配置檔案成功: c:\Users\user\Documents\GitHub\DobotDR\LOG\Automation\light\led_app_config.json
2025-07-17 00:28:59 [INFO] LED_WebApp:__init__:83 - LED Web應用初始化完成
2025-07-17 00:28:59 [INFO] LED_WebApp:run:448 - LED控制器Web應用啟動中
2025-07-17 00:28:59 [INFO] LED_WebApp:run:449 - 模組ID: LED控制器Web UI
2025-07-17 00:28:59 [INFO] LED_WebApp:run:450 - Web服務器: http://0.0.0.0:5008
2025-07-17 00:28:59 [INFO] LED_WebApp:run:451 - Modbus服務器地址: 127.0.0.1:502
2025-07-17 00:28:59 [INFO] LED_WebApp:run:452 - LED控制器基地址: 600
2025-07-17 00:32:37 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:37 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 110, 模組狀態: 閒置
2025-07-17 00:32:39 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:41 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:43 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:45 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:47 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:47 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 115, 模組狀態: 閒置
2025-07-17 00:32:49 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:51 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:53 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:55 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:57 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:32:57 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 120, 模組狀態: 閒置
2025-07-17 00:32:59 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:01 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:03 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:05 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:07 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:07 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 125, 模組狀態: 閒置
2025-07-17 00:33:09 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:11 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:13 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:15 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:17 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:17 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 130, 模組狀態: 閒置
2025-07-17 00:33:19 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:21 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:23 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:25 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:27 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:27 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 135, 模組狀態: 閒置
2025-07-17 00:33:29 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:31 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:33 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:35 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:37 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:37 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 140, 模組狀態: 閒置
2025-07-17 00:33:39 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:41 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:43 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:45 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:47 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:47 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 145, 模組狀態: 閒置
2025-07-17 00:33:49 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:51 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:53 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:55 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:57 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:33:57 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 150, 模組狀態: 閒置
2025-07-17 00:33:59 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:34:01 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:34:03 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:34:05 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:34:07 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:34:07 [DEBUG] LED_WebApp:status_monitor:414 - 狀態監控週期: 155, 模組狀態: 閒置
2025-07-17 00:34:09 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:34:11 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:34:13 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
2025-07-17 00:34:15 [DEBUG] LED_WebApp:read_status:202 - 讀取狀態成功: 模組狀態=閒置, 活躍通道=0
